x,y,z
1091892.110000000,854626.488000000,1041.440000000
1092253.720000000,854331.845000000,1048.100000000
1092317.700000000,853761.904000000,1049.000000000
1092738.830000000,853741.071000000,1056.600000000
1093265.620000000,853316.964000000,1069.800000000
1093759.670000000,853309.523000000,1084.000000000

